File                                    Model     T.Energy       I.Energy       vdW            Coul           NumRotors      RMSD           Score          
5281519_run_10.log                      1         11.698         -22.308        -21.996        -0.312         0              0.000          -8.964         
5281519_run_1.log                       2         11.757         -22.249        -22.052        -0.197         0              3.875          -8.967         
5281519_run_3.log                       3         12.399         -21.607        -21.981        0.374          0              4.927          -8.948         
5281519_run_21.log                      4         13.265         -20.742        -20.444        -0.298         0              2.334          -8.800         
5281519_run_24.log                      5         15.245         -18.761        -18.377        -0.384         0              3.503          -8.584         
5281519_run_1.log                       7         16.164         -17.843        -17.602        -0.241         0              4.569          -8.500         
5281519_run_8.log                       10        17.562         -16.445        -16.363        -0.082         0              4.472          -8.366         
5281519_run_24.log                      10        17.931         -16.075        -16.078        0.003          0              4.278          -8.335         
5281519_run_8.log                       12        18.077         -15.929        -15.364        -0.565         0              4.312          -8.271         
5281519_run_4.log                       13        18.170         -15.836        -16.090        0.254          0              6.812          -8.331         
