File                                    Model     T.Energy       I.Energy       vdW            Coul           NumRotors      RMSD           Score          
5281519_run_21.log                      1         19.365         -14.642        -13.996        -0.646         0              0.000          -8.129         
5281519_run_16.log                      2         20.103         -13.903        -13.421        -0.482         0              2.692          -8.065         
5281519_run_6.log                       5         21.567         -12.439        -12.014        -0.425         0              3.416          -7.916         
5281519_run_6.log                       6         22.840         -11.167        -11.144        -0.023         0              4.908          -7.816         
5281519_run_10.log                      9         24.321         -9.686         -10.175        0.489          0              4.243          -7.703         
5281519_run_7.log                       11        27.264         -6.742         -6.595         -0.147         0              4.105          -7.340         
5281519_run_10.log                      11        28.573         -5.434         -5.210         -0.224         0              4.419          -7.196         
5281519_run_21.log                      10        29.309         -4.697         -5.036         0.339          0              4.524          -7.166         
5281519_run_1.log                       14        29.708         -4.299         -4.578         0.279          0              4.624          -7.119         
5281519_run_5.log                       13        30.157         -3.850         -3.300         -0.550         0              7.092          -7.002         
