File                                    Model     T.Energy       I.Energy       vdW            Coul           NumRotors      RMSD           Score          
5281519_run_14.log                      1         11.372         -22.634        -23.059        0.425          0              0.000          -9.060         
5281519_run_6.log                       2         11.733         -22.274        -22.236        -0.038         0              4.270          -8.983         
5281519_run_5.log                       3         12.022         -21.984        -21.829        -0.155         0              4.664          -8.943         
5281519_run_1.log                       4         12.100         -21.907        -22.100        0.193          0              4.974          -8.964         
5281519_run_6.log                       6         13.243         -20.764        -21.136        0.372          0              3.760          -8.859         
5281519_run_10.log                      7         13.523         -20.483        -20.796        0.313          0              4.211          -8.824         
5281519_run_4.log                       8         13.592         -20.415        -20.716        0.301          0              7.699          -8.816         
5281519_run_22.log                      9         13.986         -20.020        -20.183        0.163          0              4.355          -8.763         
5281519_run_4.log                       12        14.238         -19.768        -19.860        0.092          0              4.596          -8.731         
5281519_run_17.log                      16        14.821         -19.185        -19.341        0.156          0              4.855          -8.675         
