File                                    Model     T.Energy       I.Energy       vdW            Coul           NumRotors      RMSD           Score          
5zty_ligand_run_22.log                  1         2.043          -50.577        -45.978        -4.599         9              9.249          -11.575        
5zty_ligand_run_4.log                   7         13.241         -47.850        -43.712        -4.138         9              9.330          -11.327        
5zty_ligand_run_7.log                   15        19.529         -40.243        -32.598        -7.645         9              0.530          -10.231        
5zty_ligand_run_13.log                  18        21.617         -32.329        -31.585        -0.744         9              9.244          -9.981         
5zty_ligand_run_6.log                   17        21.805         -36.456        -35.387        -1.069         9              9.102          -10.388        
5zty_ligand_run_5.log                   17        22.192         -33.675        -33.044        -0.631         9              9.432          -10.132        
5zty_ligand_run_9.log                   15        25.129         -31.737        -31.057        -0.680         9              9.579          -9.924         
5zty_ligand_run_7.log                   20        25.979         -36.131        -28.286        -7.845         9              2.369          -9.781         
5zty_ligand_run_22.log                  23        26.273         -37.466        -34.421        -3.045         9              9.007          -10.327        
5zty_ligand_run_17.log                  21        27.937         -23.939        -17.575        -6.364         9              2.820          -8.624         
