File                                    Model     T.Energy       I.Energy       vdW            Coul           NumRotors      RMSD           Score          
6kpf_ligand_run_23.log                  1         27.258         -50.129        -41.718        -8.411         7              1.068          -11.206        
6kpf_ligand_run_14.log                  4         39.813         -36.588        -32.505        -4.083         7              3.286          -10.147        
6kpf_ligand_run_4.log                   4         45.084         -35.783        -32.608        -3.175         7              2.159          -10.139        
6kpf_ligand_run_6.log                   8         50.404         -24.100        -20.449        -3.651         7              7.713          -8.870         
6kpf_ligand_run_10.log                  8         55.446         -28.602        -22.731        -5.871         7              3.150          -9.156         
6kpf_ligand_run_15.log                  10        56.328         -24.238        -21.915        -2.323         7              3.451          -8.997         
6kpf_ligand_run_3.log                   13        58.299         -23.606        -21.896        -1.710         7              8.519          -8.982         
6kpf_ligand_run_20.log                  12        58.522         -23.336        -22.007        -1.329         7              8.330          -8.986         
6kpf_ligand_run_11.log                  12        58.707         -26.564        -23.221        -3.343         7              1.871          -9.155         
6kpf_ligand_run_17.log                  17        64.035         -15.404        -13.081        -2.323         7              8.060          -8.067         
