File                                    Model     T.Energy       I.Energy       vdW            Coul           NumRotors      RMSD           Score          
6pt0_ligand_run_9.log                   1         47.624         -45.142        -40.967        -4.175         4              1.981          -11.039        
6pt0_ligand_run_15.log                  2         48.312         -46.238        -42.491        -3.747         4              1.041          -11.191        
6pt0_ligand_run_23.log                  7         59.441         -33.217        -33.430        0.213          4              7.917          -10.156        
6pt0_ligand_run_6.log                   12        60.602         -32.011        -32.119        0.108          4              8.285          -10.020        
6pt0_ligand_run_18.log                  12        64.114         -32.838        -31.564        -1.274         4              2.476          -9.990         
6pt0_ligand_run_19.log                  16        64.654         -28.483        -28.481        -0.002         4              8.579          -9.639         
6pt0_ligand_run_12.log                  14        64.904         -32.875        -32.006        -0.869         4              8.704          -10.028        
6pt0_ligand_run_1.log                   14        65.323         -37.649        -37.447        -0.202         4              2.615          -10.587        
6pt0_ligand_run_20.log                  14        65.777         -33.210        -33.538        0.328          4              8.235          -10.165        
6pt0_ligand_run_20.log                  15        66.233         -27.979        -29.056        1.077          4              5.869          -9.678         
