File                                    Model     T.Energy       I.Energy       vdW            Coul           NumRotors      RMSD           Score          
5281519_run_5.log                       1         18.636         -15.370        -15.084        -0.286         0              0.000          -8.236         
5281519_run_10.log                      1         19.124         -14.882        -14.367        -0.515         0              4.892          -8.165         
5281519_run_8.log                       3         19.964         -14.043        -13.741        -0.302         0              3.487          -8.095         
5281519_run_6.log                       4         20.184         -13.822        -13.812        -0.010         0              2.858          -8.096         
5281519_run_24.log                      7         20.236         -13.771        -14.366        0.595          0              3.126          -8.142         
5281519_run_14.log                      7         20.253         -13.754        -14.338        0.584          0              2.471          -8.139         
5281519_run_18.log                      8         20.474         -13.533        -13.389        -0.144         0              4.361          -8.055         
5281519_run_11.log                      11        20.560         -13.447        -13.691        0.244          0              3.046          -8.078         
5281519_run_5.log                       11        20.685         -13.322        -13.106        -0.216         0              4.381          -8.026         
5281519_run_22.log                      13        20.783         -13.224        -12.862        -0.362         0              3.201          -8.004         
