File                                    Model     T.Energy       I.Energy       vdW            Coul           NumRotors      RMSD           Score          
6lx5_ligand-1_run_11.log                1         -1.299         -42.292        7.376          -49.668        4              17.243         -6.895         
6lx5_ligand-1_run_11.log                3         0.959          -40.493        5.670          -46.163        4              16.890         -7.002         
6lx5_ligand-1_run_4.log                 1         2.330          -37.070        -17.870        -19.200        4              2.397          -8.921         
6lx5_ligand-1_run_11.log                6         3.759          -40.284        2.220          -42.504        4              16.894         -7.289         
6lx5_ligand-1_run_1.log                 2         4.667          -37.085        -10.802        -26.283        4              2.236          -8.324         
6lx5_ligand-1_run_5.log                 7         8.335          -31.411        14.222         -45.633        4              17.848         -6.092         
6lx5_ligand-1_run_22.log                6         9.836          -29.055        -7.986         -21.069        4              5.416          -7.919         
6lx5_ligand-1_run_2.log                 9         9.878          -31.149        -11.135        -20.014        4              2.400          -8.229         
6lx5_ligand-1_run_4.log                 11        11.768         -29.600        -7.622         -21.978        4              1.580          -7.900         
6lx5_ligand-1_run_3.log                 11        11.958         -29.306        -8.280         -21.026        4              4.863          -7.949         
