File                                    Model     T.Energy       I.Energy       vdW            Coul           NumRotors      RMSD           Score          
2rbe_ligand_run_2.log                   1         -9.119         -30.987        -26.563        -4.424         3              1.795          -9.529         
2rbe_ligand_run_8.log                   3         -8.074         -29.653        -24.116        -5.537         3              6.424          -9.295         
2rbe_ligand_run_10.log                  4         -7.379         -30.153        -23.637        -6.516         3              2.334          -9.265         
2rbe_ligand_run_24.log                  6         -7.027         -29.778        -24.224        -5.554         3              5.920          -9.307         
2rbe_ligand_run_1.log                   7         -5.592         -27.307        -25.715        -1.592         3              6.158          -9.381         
2rbe_ligand_run_5.log                   10        -5.368         -28.201        -24.751        -3.450         3              3.150          -9.318         
2rbe_ligand_run_14.log                  10        -5.216         -26.696        -26.526        -0.170         3              3.088          -9.437         
2rbe_ligand_run_3.log                   13        -4.904         -26.530        -24.440        -2.090         3              3.423          -9.258         
2rbe_ligand_run_19.log                  21        -4.251         -26.978        -27.379        0.401          3              2.656          -9.515         
2rbe_ligand_run_3.log                   19        -3.915         -29.917        -21.940        -7.977         3              8.245          -9.116         
