Name;Score;T. Energy;I. Energy;vdW Energy;Electrostatic Energy;RMSD
11996452_9;-8.418;6.134;-17.033;-16.826;-0.207;0.000
5281519;-8.392;17.350;-16.657;-16.613;-0.044;0.000
11996452_1;-8.279;3.332;-15.880;-15.472;-0.408;0.000
11996452_8;-7.858;5.698;-16.201;-10.405;-5.796;0.000
11996452_6;-7.802;7.536;-15.573;-9.901;-5.672;0.000
11996452;-7.740;6.942;-15.427;-9.205;-6.222;0.000
11996452_3;-7.702;5.611;-14.914;-8.877;-6.037;0.000
11996452_11;-7.700;6.201;-14.888;-8.854;-6.034;0.000
11996452_2;-7.609;6.715;-14.567;-7.859;-6.708;0.000
11996452_4;-7.575;8.361;-14.547;-7.463;-7.084;0.000
11996452_7;-7.554;9.107;-12.399;-7.747;-4.652;0.000
11996452_10;-7.549;7.118;-15.343;-6.966;-8.377;0.000
11996452_5;-7.528;7.238;-14.032;-7.037;-6.995;0.000
