File                                    Model     T.Energy       I.Energy       vdW            Coul           NumRotors      RMSD           Score          
11996452_3_run_19.log                   1         5.611          -14.914        -8.877         -6.037         0              0.000          -7.702         
11996452_3_run_24.log                   2         6.721          -13.894        -8.549         -5.345         0              3.860          -7.653         
11996452_3_run_20.log                   2         6.747          -13.627        -8.451         -5.176         0              3.165          -7.639         
11996452_3_run_7.log                    4         7.141          -13.247        -7.913         -5.334         0              5.384          -7.586         
11996452_3_run_22.log                   6         7.322          -13.053        -6.904         -6.149         0              3.604          -7.497         
11996452_3_run_2.log                    6         7.838          -12.528        -7.657         -4.871         0              3.074          -7.550         
11996452_3_run_4.log                    9         8.276          -12.089        -8.669         -3.420         0              3.999          -7.626         
11996452_3_run_4.log                    11        8.376          -12.323        -9.329         -2.994         0              20.320         -7.687         
11996452_3_run_4.log                    12        8.646          -11.982        -7.875         -4.107         0              3.555          -7.557         
11996452_3_run_6.log                    12        8.726          -11.876        -10.673        -1.203         0              11.504         -7.791         
