File                                    Model     T.Energy       I.Energy       vdW            Coul           NumRotors      RMSD           Score          
5281519_run_8.log                       1         17.350         -16.657        -16.613        -0.044         0              0.000          -8.392         
5281519_run_6.log                       2         17.561         -16.446        -16.659        0.213          0              5.139          -8.391         
5281519_run_2.log                       3         20.190         -13.817        -14.060        0.243          0              4.856          -8.117         
5281519_run_21.log                      4         20.697         -13.310        -13.395        0.085          0              2.777          -8.051         
5281519_run_14.log                      5         21.027         -12.979        -13.353        0.374          0              6.356          -8.040         
5281519_run_22.log                      6         21.142         -12.864        -12.503        -0.361         0              4.864          -7.966         
5281519_run_7.log                       7         21.714         -12.292        -12.157        -0.135         0              4.650          -7.925         
5281519_run_19.log                      8         21.934         -12.073        -12.076        0.003          0              4.288          -7.914         
5281519_run_9.log                       9         22.004         -12.003        -11.667        -0.336         0              4.664          -7.878         
5281519_run_9.log                       10        22.057         -11.950        -11.901        -0.049         0              2.238          -7.896         
