Name;Score;T. Energy;I. Energy;vdW Energy;Electrostatic Energy;RMSD
11996452_6;-8.868;2.010;-21.005;-21.186;0.181;0.000
11996452_10;-8.670;1.974;-19.430;-19.226;-0.204;0.000
11996452_2;-8.665;1.700;-19.323;-19.188;-0.135;0.000
11996452_9;-8.497;5.063;-17.589;-17.631;0.042;0.000
5281519;-8.441;17.019;-16.987;-17.116;0.129;0.000
11996452_1;-8.418;1.444;-17.595;-16.699;-0.896;0.000
11996452_5;-8.062;4.057;-17.221;-12.577;-4.644;0.000
11996452_8;-7.830;4.194;-17.401;-9.780;-7.621;0.000
11996452_4;-7.816;5.847;-15.206;-10.151;-5.055;0.000
11996452_3;-7.805;2.350;-18.014;-9.340;-8.674;0.000
11996452_7;-7.799;6.369;-15.134;-9.971;-5.163;0.000
11996452_11;-7.794;2.988;-17.932;-9.224;-8.708;0.000
11996452;-7.794;4.648;-17.542;-9.320;-8.222;0.000
