File                                    Model     T.Energy       I.Energy       vdW            Coul           NumRotors      RMSD           Score          
11996452_1_run_9.log                    1         1.444          -17.595        -16.699        -0.896         0              0.000          -8.418         
11996452_1_run_11.log                   2         1.833          -17.192        -17.166        -0.026         0              4.078          -8.450         
11996452_1_run_19.log                   3         2.158          -17.182        -12.355        -4.827         0              13.583         -8.043         
11996452_1_run_6.log                    4         3.639          -16.015        -11.453        -4.562         0              13.199         -7.942         
11996452_1_run_9.log                    4         4.185          -14.830        -12.035        -2.795         0              13.641         -7.967         
11996452_1_run_17.log                   6         4.267          -14.971        -12.146        -2.825         0              13.442         -7.979         
11996452_1_run_14.log                   7         4.341          -14.875        -9.711         -5.164         0              13.327         -7.772         
11996452_1_run_16.log                   7         4.750          -14.482        -8.817         -5.665         0              13.890         -7.688         
11996452_1_run_14.log                   8         4.812          -14.429        -10.518        -3.911         0              13.452         -7.831         
11996452_1_run_6.log                    7         5.058          -14.163        -10.718        -3.445         0              13.547         -7.842         
