File                                    Model     T.Energy       I.Energy       vdW            Coul           NumRotors      RMSD           Score          
5281519_run_11.log                      1         17.019         -16.987        -17.116        0.129          0              0.000          -8.441         
5281519_run_18.log                      2         18.667         -15.340        -15.420        0.080          0              2.316          -8.264         
5281519_run_7.log                       3         18.858         -15.148        -15.445        0.297          0              4.751          -8.262         
5281519_run_10.log                      4         19.304         -14.703        -14.548        -0.155         0              3.503          -8.177         
5281519_run_3.log                       5         21.830         -12.177        -11.592        -0.585         0              13.235         -7.875         
5281519_run_3.log                       6         21.905         -12.102        -11.835        -0.267         0              13.118         -7.894         
5281519_run_3.log                       8         22.019         -11.988        -12.605        0.617          0              13.118         -7.956         
5281519_run_11.log                      7         22.111         -11.895        -12.288        0.393          0              4.082          -7.928         
5281519_run_6.log                       8         22.165         -11.842        -12.121        0.279          0              13.353         -7.913         
5281519_run_21.log                      10        22.284         -11.722        -11.569        -0.153         0              13.429         -7.863         
