File                                    Model     T.Energy       I.Energy       vdW            Coul           NumRotors      RMSD           Score          
8e1a_ligand_run_12.log                  1         11.509         -35.862        -33.596        -2.266         3              0.197          -10.224        
8e1a_ligand_run_21.log                  2         20.207         -29.965        -29.414        -0.551         3              2.293          -9.749         
8e1a_ligand_run_6.log                   4         20.394         -28.733        -29.195        0.462          3              2.841          -9.705         
8e1a_ligand_run_22.log                  6         23.575         -24.654        -24.034        -0.620         3              2.462          -9.184         
8e1a_ligand_run_18.log                  8         24.620         -25.584        -22.473        -3.111         3              7.196          -9.072         
8e1a_ligand_run_21.log                  9         28.307         -23.729        -22.514        -1.215         3              6.644          -9.037         
8e1a_ligand_run_4.log                   10        30.687         -19.042        -19.413        0.371          3              6.968          -8.678         
8e1a_ligand_run_13.log                  12        31.269         -20.283        -18.813        -1.470         3              6.746          -8.653         
8e1a_ligand_run_6.log                   15        34.571         -11.900        -6.498         -5.402         3              6.745          -7.439         
8e1a_ligand_run_16.log                  17        34.648         -21.411        -22.702        1.291          3              2.650          -9.005         
