File                                    Model     T.Energy       I.Energy       vdW            Coul           NumRotors      RMSD           Score          
11996452_5_run_6.log                    1         -3.888         -25.416        -20.728        -4.688         0              0.000          -8.921         
11996452_5_run_2.log                    4         2.301          -18.971        -17.401        -1.570         0              4.164          -8.506         
11996452_5_run_18.log                   5         3.296          -17.968        -17.531        -0.437         0              4.141          -8.497         
11996452_5_run_16.log                   6         3.446          -17.937        -16.440        -1.497         0              5.372          -8.404         
11996452_5_run_10.log                   8         4.318          -17.058        -16.955        -0.103         0              3.571          -8.429         
11996452_5_run_23.log                   9         4.391          -16.981        -16.891        -0.090         0              2.672          -8.422         
11996452_5_run_12.log                   9         4.550          -17.104        -15.938        -1.166         0              4.684          -8.344         
11996452_5_run_2.log                    11        4.838          -16.424        -15.330        -1.094         0              3.560          -8.279         
11996452_5_run_4.log                    12        5.085          -16.802        -16.087        -0.715         0              5.112          -8.350         
11996452_5_run_12.log                   13        5.994          -15.297        -14.997        -0.300         0              5.007          -8.227         
