File                                    Model     T.Energy       I.Energy       vdW            Coul           NumRotors      RMSD           Score          
5281519_run_7.log                       1         12.491         -21.516        -21.373        -0.143         0              0.000          -8.895         
5281519_run_12.log                      2         12.681         -21.325        -21.260        -0.065         0              4.984          -8.881         
5281519_run_8.log                       3         13.485         -20.521        -20.417        -0.104         0              3.470          -8.793         
5281519_run_20.log                      4         14.361         -19.645        -20.020        0.375          0              5.083          -8.742         
5281519_run_1.log                       7         14.899         -19.108        -18.631        -0.477         0              2.034          -8.613         
5281519_run_13.log                      8         14.990         -19.017        -19.433        0.416          0              4.568          -8.679         
5281519_run_7.log                       10        16.209         -17.797        -17.572        -0.225         0              3.907          -8.496         
5281519_run_10.log                      13        17.782         -16.225        -16.574        0.349          0              4.818          -8.380         
5281519_run_6.log                       12        18.494         -15.513        -15.090        -0.423         0              4.301          -8.239         
5281519_run_16.log                      16        21.726         -12.281        -11.983        -0.298         0              4.376          -7.910         
