File                                    Model     T.Energy       I.Energy       vdW            Coul           NumRotors      RMSD           Score          
11996452_1_run_23.log                   1         4.814          -14.260        -13.241        -1.019         0              0.000          -8.057         
11996452_1_run_15.log                   2         9.297          -10.281        -8.210         -2.071         0              3.656          -7.550         
11996452_1_run_20.log                   3         10.035         -8.980         -8.812         -0.168         0              3.972          -7.574         
11996452_1_run_12.log                   4         11.102         -8.155         -5.265         -2.890         0              4.183          -7.257         
11996452_1_run_14.log                   5         12.513         -6.509         -5.454         -1.055         0              4.870          -7.239         
11996452_1_run_21.log                   8         18.236         -1.019         0.498          -1.517         0              4.155          -6.622         
11996452_1_run_9.log                    9         19.318         0.186          2.245          -2.059         0              3.947          -6.450         
11996452_1_run_8.log                    10        20.156         0.964          2.872          -1.908         0              3.741          -6.381         
11996452_1_run_3.log                    11        20.807         1.307          7.448          -6.141         0              4.296          -5.987         
11996452_1_run_2.log                    11        21.000         1.314          6.320          -5.006         0              3.553          -6.082         
