File                                    Model     T.Energy       I.Energy       vdW            Coul           NumRotors      RMSD           Score          
5281519_run_8.log                       1         20.103         -13.904        -13.339        -0.565         0              0.000          -8.058         
5281519_run_18.log                      2         28.346         -5.662         -4.961         -0.701         0              4.631          -7.180         
5281519_run_12.log                      3         29.613         -4.394         -4.345         -0.049         0              3.073          -7.101         
5281519_run_18.log                      5         31.463         -2.544         -1.969         -0.575         0              4.090          -6.862         
5281519_run_6.log                       6         34.139         0.133          0.364          -0.231         0              5.048          -6.610         
5281519_run_6.log                       9         38.170         4.164          4.044          0.120          0              5.429          -6.215         
5281519_run_2.log                       11        39.094         5.088          5.691          -0.603         0              5.241          -6.057         
5281519_run_13.log                      12        39.307         5.300          5.518          -0.218         0              3.877          -6.067         
5281519_run_23.log                      12        40.962         6.955          7.162          -0.207         0              4.401          -5.894         
5281519_run_5.log                       14        41.283         7.277          7.077          0.200          0              3.881          -5.895         
