File                                    Model     T.Energy       I.Energy       vdW            Coul           NumRotors      RMSD           Score          
11996452_run_1.log                      1         0.136          -22.829        -17.632        -5.197         0              0.000          -8.606         
11996452_run_4.log                      2         0.271          -21.934        -20.810        -1.124         0              4.151          -8.856         
11996452_run_18.log                     3         1.324          -21.088        -19.753        -1.335         0              3.593          -8.749         
11996452_run_23.log                     4         2.388          -19.784        -19.669        -0.115         0              4.805          -8.715         
11996452_run_4.log                      9         6.541          -16.155        -7.321         -8.834         0              3.614          -7.596         
11996452_run_10.log                     9         6.614          -15.905        -14.494        -1.411         0              4.952          -8.197         
11996452_run_15.log                     11        6.789          -15.702        -14.010        -1.692         0              3.979          -8.152         
11996452_run_16.log                     13        7.389          -14.998        -14.473        -0.525         0              5.216          -8.177         
11996452_run_12.log                     12        7.541          -14.772        -13.149        -1.623         0              4.682          -8.060         
11996452_run_1.log                      14        9.247          -13.308        -9.565         -3.743         0              5.004          -7.727         
