File                                    Model     T.Energy       I.Energy       vdW            Coul           NumRotors      RMSD           Score          
11996452_10_run_19.log                  1         -1.513         -23.085        -22.343        -0.742         0              0.000          -9.009         
11996452_10_run_14.log                  2         -0.609         -22.221        -21.471        -0.750         0              3.552          -8.917         
11996452_10_run_11.log                  3         -0.600         -22.005        -21.820        -0.185         0              4.276          -8.942         
11996452_10_run_16.log                  5         0.740          -20.880        -19.802        -1.078         0              4.786          -8.749         
11996452_10_run_24.log                  11        2.934          -18.636        -17.812        -0.824         0              4.875          -8.534         
11996452_10_run_22.log                  11        6.884          -14.688        -14.314        -0.374         0              4.094          -8.157         
11996452_10_run_4.log                   14        8.248          -13.451        -10.532        -2.919         0              3.982          -7.812         
11996452_10_run_24.log                  15        11.813         -9.672         -9.083         -0.589         0              2.534          -7.611         
11996452_10_run_14.log                  14        12.747         -8.672         -8.310         -0.362         0              4.229          -7.525         
11996452_10_run_10.log                  14        12.806         -8.610         -7.544         -1.066         0              3.877          -7.459         
