Name;Score;T. Energy;I. Energy;vdW Energy;Electrostatic Energy;RMSD
11996452_10;-7.039;17.768;-3.698;-3.779;0.081;0.000
11996452_11;-7.023;16.827;-4.311;-3.439;-0.872;0.000
11996452_4;-6.984;17.781;-3.307;-3.220;-0.087;0.000
11996452_9;-6.980;18.805;-3.903;-3.024;-0.879;0.000
11996452_2;-6.855;18.141;-2.994;-1.778;-1.216;0.000
11996452_7;-6.749;20.351;-1.149;-0.969;-0.180;0.000
11996452_5;-6.665;20.888;-0.916;-0.039;-0.877;0.000
11996452_8;-6.554;21.954;0.041;1.042;-1.001;0.000
11996452;-6.453;23.195;0.667;2.091;-1.424;0.000
11996452_3;-6.331;23.266;2.662;3.043;-0.381;0.000
11996452_6;-6.186;25.374;2.648;4.764;-2.116;0.000
5281519;-5.995;40.108;6.102;6.173;-0.071;0.000
11996452_1;-5.674;27.972;8.947;9.278;-0.331;0.000
