File                                    Model     T.Energy       I.Energy       vdW            Coul           NumRotors      RMSD           Score          
11996452_2_run_3.log                    1         18.141         -2.994         -1.778         -1.216         0              0.000          -6.855         
11996452_2_run_22.log                   2         19.807         -1.229         -1.259         0.030          0              3.828          -6.775         
11996452_2_run_19.log                   3         22.727         1.686          2.670          -0.984         0              4.083          -6.383         
11996452_2_run_13.log                   4         28.822         7.755          9.966          -2.211         0              4.034          -5.641         
11996452_2_run_18.log                   6         31.234         10.170         12.555         -2.385         0              3.678          -5.372         
11996452_2_run_24.log                   7         35.383         14.354         14.830         -0.476         0              3.530          -5.093         
11996452_2_run_20.log                   11        44.726         23.507         27.030         -3.523         0              4.463          -3.873         
11996452_2_run_17.log                   12        45.460         24.351         25.108         -0.757         0              5.556          -4.018         
11996452_2_run_6.log                    15        46.780         25.705         26.305         -0.600         0              2.267          -3.888         
11996452_2_run_15.log                   16        50.480         29.443         29.717         -0.274         0              5.148          -3.523         
