File                                    Model     T.Energy       I.Energy       vdW            Coul           NumRotors      RMSD           Score          
5281519_run_20.log                      1         40.108         6.102          6.173          -0.071         0              0.000          -5.995         
5281519_run_20.log                      3         50.765         16.758         17.224         -0.466         0              3.551          -4.841         
5281519_run_23.log                      4         56.768         22.761         21.632         1.129          0              3.832          -4.344         
5281519_run_18.log                      5         59.441         25.434         25.833         -0.399         0              4.741          -3.934         
5281519_run_24.log                      6         60.367         26.361         26.526         -0.165         0              4.595          -3.856         
5281519_run_16.log                      9         69.073         35.067         35.396         -0.329         0              4.872          -2.926         
5281519_run_2.log                       10        72.285         38.279         38.500         -0.221         0              4.606          -2.598         
5281519_run_21.log                      10        73.567         39.561         39.654         -0.093         0              5.051          -2.474         
5281519_run_17.log                      13        73.604         39.597         39.574         0.023          0              3.548          -2.480         
5281519_run_13.log                      14        74.874         40.867         41.358         -0.491         0              4.254          -2.303         
